<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20201215;110000;199.0100000;200.8600000;197.5000000;197.7200000;12068870
GAZP;60;20201215;120000;197.6400000;202.0000000;197.0500000;201.4900000;14542480
GAZP;60;20201215;130000;201.4900000;201.6900000;200.1200000;201.2000000;5274830
GAZP;60;20201215;140000;201.1900000;202.2900000;200.7000000;201.8400000;4579470
GAZP;60;20201215;150000;201.8300000;201.8700000;200.5700000;201.0700000;3543600
GAZP;60;20201215;160000;201.0800000;201.7300000;199.6300000;199.9300000;4857700
GAZP;60;20201215;170000;199.9400000;201.1800000;199.7800000;200.8200000;3321460
GAZP;60;20201215;180000;200.8400000;201.0400000;198.8500000;199.1300000;6609080
GAZP;60;20201215;190000;199.1300000;200.1000000;198.6000000;199.2200000;6466140
GAZP;60;20201215;200000;199.2200000;199.8700000;198.7700000;199.7000000;952190
GAZP;60;20201215;210000;199.7200000;200.6600000;199.7000000;200.4100000;1041400
GAZP;60;20201215;220000;200.4600000;201.0300000;200.1900000;201.0000000;622460
GAZP;60;20201215;230000;201.0400000;201.3000000;200.4500000;201.0500000;838210
GAZP;60;20201216;000000;201.1200000;201.1500000;200.7100000;201.0000000;755850
GAZP;60;20201216;110000;201.0100000;203.5700000;199.5400000;200.9200000;14318780
GAZP;60;20201216;120000;200.9100000;202.4000000;200.2300000;201.4600000;5433760
GAZP;60;20201216;130000;201.4700000;202.8300000;201.3500000;202.4400000;3680160
GAZP;60;20201216;140000;202.4500000;203.0200000;201.9800000;202.8100000;4313830
GAZP;60;20201216;150000;202.8100000;203.0000000;202.1800000;202.7000000;3697710
GAZP;60;20201216;160000;202.7100000;205.6000000;202.2000000;204.9500000;13322480
GAZP;60;20201216;170000;204.9800000;205.1500000;203.3300000;204.0900000;7335950
GAZP;60;20201216;180000;204.1300000;204.4600000;203.0200000;204.3100000;7080960
GAZP;60;20201216;190000;204.3700000;206.0000000;203.8700000;206.0000000;9704860
GAZP;60;20201216;200000;205.1100000;205.7900000;205.0100000;205.5800000;1848440
GAZP;60;20201216;210000;205.5700000;205.6800000;205.1000000;205.4900000;1467930
GAZP;60;20201216;220000;205.4900000;205.5800000;205.3200000;205.3700000;446590
GAZP;60;20201216;230000;205.3400000;205.6600000;205.1200000;205.6500000;890630
GAZP;60;20201217;000000;205.6700000;206.2000000;205.4800000;206.2000000;1672700
GAZP;60;20201217;110000;206.7000000;210.3000000;206.5100000;209.8600000;26595290
GAZP;60;20201217;120000;209.8000000;210.4400000;209.0100000;210.0100000;12755820
GAZP;60;20201217;130000;210.0300000;211.1300000;208.6500000;209.0700000;14827510
GAZP;60;20201217;140000;209.0700000;210.8400000;208.7000000;210.4900000;9339120
GAZP;60;20201217;150000;210.4600000;214.0000000;210.3400000;213.8200000;23663760
GAZP;60;20201217;160000;213.8300000;214.9300000;213.2000000;214.6100000;22989240
GAZP;60;20201217;170000;214.6200000;215.3800000;212.7500000;213.1500000;19245840
GAZP;60;20201217;180000;213.1500000;214.9000000;213.0100000;214.0900000;8704530
GAZP;60;20201217;190000;214.1100000;214.4000000;212.2000000;213.8100000;13924460
GAZP;60;20201217;200000;213.3000000;213.8200000;212.9000000;213.1600000;1987430
GAZP;60;20201217;210000;213.1300000;213.7400000;212.8300000;213.4400000;1311330
GAZP;60;20201217;220000;213.5000000;214.0900000;213.2000000;213.6600000;1283840
GAZP;60;20201217;230000;213.7000000;214.1100000;213.6100000;214.1000000;1308380
GAZP;60;20201218;000000;214.1000000;214.5900000;214.0400000;214.5200000;1601600
GAZP;60;20201218;110000;214.0000000;214.3900000;209.1100000;209.1100000;25183290
GAZP;60;20201218;120000;209.1400000;210.8200000;208.3000000;209.1100000;20093100
GAZP;60;20201218;130000;209.0400000;209.9800000;208.8000000;209.3900000;8500950
GAZP;60;20201218;140000;209.4000000;209.9600000;208.0500000;208.2300000;9027900
GAZP;60;20201218;150000;208.2300000;208.9700000;207.2200000;208.7300000;10522300
GAZP;60;20201218;160000;208.6700000;211.0000000;208.6400000;209.8300000;9499040
GAZP;60;20201218;170000;209.8600000;211.1600000;209.6600000;210.7500000;4518770
GAZP;60;20201218;180000;210.7700000;212.8000000;210.7500000;212.2600000;11007010
GAZP;60;20201218;190000;212.2900000;214.4900000;211.6600000;214.2800000;28710270
GAZP;60;20201218;200000;214.2000000;214.5000000;212.8600000;213.5200000;2929540
GAZP;60;20201218;210000;213.5500000;213.7500000;213.0800000;213.1800000;1001190
GAZP;60;20201218;220000;213.1800000;213.4800000;213.0000000;213.3900000;650100
GAZP;60;20201218;230000;213.4000000;213.6000000;213.1800000;213.2700000;787890
GAZP;60;20201219;000000;213.2900000;213.3100000;212.5300000;212.6900000;1286560
GAZP;60;20201221;110000;209.9100000;209.9900000;207.1000000;208.8000000;16854020
GAZP;60;20201221;120000;208.8100000;209.2000000;207.3000000;208.4000000;10977810
GAZP;60;20201221;130000;208.3100000;208.4400000;202.1100000;202.2500000;27103560
GAZP;60;20201221;140000;202.2700000;203.3600000;200.8000000;202.4500000;19296820
GAZP;60;20201221;150000;202.4500000;203.4600000;201.8300000;202.8700000;7669560
GAZP;60;20201221;160000;202.8900000;203.7900000;202.3200000;202.4600000;7822510
GAZP;60;20201221;170000;202.4100000;203.4500000;201.4100000;201.9900000;6564550
GAZP;60;20201221;180000;202.0000000;204.1900000;201.3400000;203.3600000;11836960
GAZP;60;20201221;190000;203.3600000;203.9600000;202.2500000;202.6000000;6820600
GAZP;60;20201221;200000;203.5300000;203.8900000;203.2200000;203.4000000;2817890
GAZP;60;20201221;210000;203.4000000;203.8000000;203.1200000;203.7100000;916320
GAZP;60;20201221;220000;203.7700000;204.8800000;203.6600000;204.7700000;1885430
GAZP;60;20201221;230000;204.7200000;204.8000000;204.0000000;204.0300000;1685150
GAZP;60;20201222;000000;204.0000000;204.0400000;203.3400000;203.4600000;1266650
GAZP;60;20201222;110000;200.7400000;202.8200000;199.1900000;202.5700000;18433450
GAZP;60;20201222;120000;202.5700000;207.6600000;201.8500000;206.3400000;19521940
GAZP;60;20201222;130000;206.4200000;207.1500000;205.3600000;206.4300000;9659990
GAZP;60;20201222;140000;206.4400000;207.4000000;206.3000000;207.0900000;6659600
GAZP;60;20201222;150000;207.0600000;207.9000000;206.6200000;207.6500000;6303140
GAZP;60;20201222;160000;207.6500000;209.6700000;207.6100000;209.5800000;11722920
GAZP;60;20201222;170000;209.5800000;210.6800000;208.8200000;210.6400000;10761740
GAZP;60;20201222;180000;210.6500000;210.6800000;208.4100000;208.7400000;10233010
GAZP;60;20201222;190000;208.7800000;209.9900000;207.9100000;209.8600000;9306110
GAZP;60;20201222;200000;209.5800000;209.8500000;207.3300000;208.5300000;3398230
GAZP;60;20201222;210000;208.5500000;209.1400000;208.2400000;208.5800000;1088360
GAZP;60;20201222;220000;208.5900000;209.1900000;208.2500000;209.1500000;701690
GAZP;60;20201222;230000;209.1500000;209.4300000;208.5500000;208.7200000;1025940
GAZP;60;20201223;000000;208.7200000;208.8200000;208.4000000;208.4000000;978420
GAZP;60;20201223;110000;209.0000000;212.7500000;208.0000000;212.2100000;19520750
GAZP;60;20201223;120000;212.2000000;212.7800000;210.3900000;210.9900000;11273050
GAZP;60;20201223;130000;210.9900000;212.2500000;210.8400000;211.5700000;5760170
GAZP;60;20201223;140000;211.5800000;211.9600000;211.0400000;211.3000000;3080440
GAZP;60;20201223;150000;211.3000000;211.4500000;210.3100000;211.2000000;4575870
GAZP;60;20201223;160000;211.2500000;211.2500000;210.0800000;210.4600000;2897340
GAZP;60;20201223;170000;210.4900000;211.7000000;210.2200000;211.4200000;4511810
GAZP;60;20201223;180000;211.4200000;211.9800000;210.7200000;210.8700000;4844810
GAZP;60;20201223;190000;210.9500000;211.3800000;210.2300000;211.0300000;5923460
GAZP;60;20201223;200000;211.0000000;211.6200000;210.8700000;211.5100000;1704590
GAZP;60;20201223;210000;211.5100000;211.5800000;211.0700000;211.1800000;533330
GAZP;60;20201223;220000;211.2000000;211.5000000;210.5300000;210.7100000;1579280
GAZP;60;20201223;230000;210.7400000;210.8200000;206.2000000;207.4600000;8953550
GAZP;60;20201224;000000;207.4700000;208.3600000;207.0000000;207.6300000;3718600
GAZP;60;20201224;110000;208.5400000;209.9600000;203.1500000;207.0100000;22279830
GAZP;60;20201224;120000;207.0100000;207.7700000;204.5400000;206.1000000;10143770
GAZP;60;20201224;130000;206.1500000;206.6000000;204.9000000;205.5000000;4171150
GAZP;60;20201224;140000;205.5100000;205.6700000;204.2500000;204.5400000;4257300
GAZP;60;20201224;150000;204.5200000;206.2000000;204.3400000;205.5800000;3552540
GAZP;60;20201224;160000;205.6000000;205.9000000;204.9200000;205.5900000;2783760
GAZP;60;20201224;170000;205.5900000;205.5900000;204.4800000;205.1900000;3011320
GAZP;60;20201224;180000;205.1900000;205.4700000;204.8000000;205.3700000;3501630
GAZP;60;20201224;190000;205.3700000;205.4600000;205.0100000;205.3000000;1593160
GAZP;60;20201224;200000;205.3000000;205.9000000;205.0000000;205.6700000;930400
GAZP;60;20201224;210000;205.6800000;206.3500000;205.5100000;206.1600000;643600
GAZP;60;20201224;220000;206.1600000;206.8300000;206.0600000;206.2700000;1310230
GAZP;60;20201224;230000;206.2700000;206.7000000;206.1700000;206.3100000;468400
GAZP;60;20201225;000000;206.3500000;206.4500000;206.0500000;206.2400000;434700
GAZP;60;20201225;110000;206.2000000;206.7300000;204.5200000;204.7400000;4828260
GAZP;60;20201225;120000;204.7400000;205.3000000;204.0100000;205.0200000;2776010
GAZP;60;20201225;130000;205.0900000;205.1300000;204.7300000;205.1100000;754320
GAZP;60;20201225;140000;205.1000000;205.2000000;204.8300000;205.1100000;840420
GAZP;60;20201225;150000;205.1800000;205.2000000;204.8500000;205.0000000;693300
GAZP;60;20201225;160000;205.0000000;205.1400000;204.8000000;205.1000000;709160
GAZP;60;20201225;170000;205.0900000;205.2000000;205.0000000;205.2000000;793900
GAZP;60;20201225;180000;205.2000000;205.2500000;204.8600000;205.1700000;1827310
GAZP;60;20201225;190000;205.1600000;205.2500000;205.0200000;205.1200000;1429480
